"","ville","bv","inscrits","votants","exprimes","nom","nb"
"974096","Bondy","0001",1299,868,850,"MEGRET",18
"974097","Bondy","0001",1299,868,850,"LEPAGE",18
"974098","Bondy","0001",1299,868,850,"GLUCKSTEIN",1
"974099","Bondy","0001",1299,868,850,"BAYROU",60
"974100","Bondy","0001",1299,868,850,"CHIRAC",143
"974101","Bondy","0001",1299,868,850,"LE PEN",148
"974102","Bondy","0001",1299,868,850,"TAUBIRA",39
"974103","Bondy","0001",1299,868,850,"SAINT-JOSSE",8
"974104","Bondy","0001",1299,868,850,"MAMERE",56
"974105","Bondy","0001",1299,868,850,"JOSPIN",147
"974106","Bondy","0001",1299,868,850,"BOUTIN",8
"974107","Bondy","0001",1299,868,850,"HUE",35
"974108","Bondy","0001",1299,868,850,"CHEVENEMENT",54
"974109","Bondy","0001",1299,868,850,"MADELIN",27
"974110","Bondy","0001",1299,868,850,"LAGUILLER",56
"974111","Bondy","0001",1299,868,850,"BESANCENOT",32
"974112","Bondy","0002",1449,1051,1031,"MEGRET",38
"974113","Bondy","0002",1449,1051,1031,"LEPAGE",15
"974114","Bondy","0002",1449,1051,1031,"GLUCKSTEIN",7
"974115","Bondy","0002",1449,1051,1031,"BAYROU",75
"974116","Bondy","0002",1449,1051,1031,"CHIRAC",178
"974117","Bondy","0002",1449,1051,1031,"LE PEN",178
"974118","Bondy","0002",1449,1051,1031,"TAUBIRA",29
"974119","Bondy","0002",1449,1051,1031,"SAINT-JOSSE",8
"974120","Bondy","0002",1449,1051,1031,"MAMERE",60
"974121","Bondy","0002",1449,1051,1031,"JOSPIN",203
"974122","Bondy","0002",1449,1051,1031,"BOUTIN",9
"974123","Bondy","0002",1449,1051,1031,"HUE",19
"974124","Bondy","0002",1449,1051,1031,"CHEVENEMENT",71
"974125","Bondy","0002",1449,1051,1031,"MADELIN",44
"974126","Bondy","0002",1449,1051,1031,"LAGUILLER",63
"974127","Bondy","0002",1449,1051,1031,"BESANCENOT",34
"974128","Bondy","0003",1311,884,865,"MEGRET",12
"974129","Bondy","0003",1311,884,865,"LEPAGE",8
"974130","Bondy","0003",1311,884,865,"GLUCKSTEIN",2
"974131","Bondy","0003",1311,884,865,"BAYROU",49
"974132","Bondy","0003",1311,884,865,"CHIRAC",122
"974133","Bondy","0003",1311,884,865,"LE PEN",129
"974134","Bondy","0003",1311,884,865,"TAUBIRA",50
"974135","Bondy","0003",1311,884,865,"SAINT-JOSSE",10
"974136","Bondy","0003",1311,884,865,"MAMERE",64
"974137","Bondy","0003",1311,884,865,"JOSPIN",183
"974138","Bondy","0003",1311,884,865,"BOUTIN",5
"974139","Bondy","0003",1311,884,865,"HUE",29
"974140","Bondy","0003",1311,884,865,"CHEVENEMENT",56
"974141","Bondy","0003",1311,884,865,"MADELIN",56
"974142","Bondy","0003",1311,884,865,"LAGUILLER",55
"974143","Bondy","0003",1311,884,865,"BESANCENOT",35
"974144","Bondy","0004",1391,918,893,"MEGRET",24
"974145","Bondy","0004",1391,918,893,"LEPAGE",10
"974146","Bondy","0004",1391,918,893,"GLUCKSTEIN",3
"974147","Bondy","0004",1391,918,893,"BAYROU",32
"974148","Bondy","0004",1391,918,893,"CHIRAC",131
"974149","Bondy","0004",1391,918,893,"LE PEN",110
"974150","Bondy","0004",1391,918,893,"TAUBIRA",87
"974151","Bondy","0004",1391,918,893,"SAINT-JOSSE",7
"974152","Bondy","0004",1391,918,893,"MAMERE",51
"974153","Bondy","0004",1391,918,893,"JOSPIN",234
"974154","Bondy","0004",1391,918,893,"BOUTIN",12
"974155","Bondy","0004",1391,918,893,"HUE",41
"974156","Bondy","0004",1391,918,893,"CHEVENEMENT",42
"974157","Bondy","0004",1391,918,893,"MADELIN",23
"974158","Bondy","0004",1391,918,893,"LAGUILLER",60
"974159","Bondy","0004",1391,918,893,"BESANCENOT",26
"974160","Bondy","0005",1056,709,694,"MEGRET",12
"974161","Bondy","0005",1056,709,694,"LEPAGE",3
"974162","Bondy","0005",1056,709,694,"GLUCKSTEIN",4
"974163","Bondy","0005",1056,709,694,"BAYROU",12
"974164","Bondy","0005",1056,709,694,"CHIRAC",101
"974165","Bondy","0005",1056,709,694,"LE PEN",108
"974166","Bondy","0005",1056,709,694,"TAUBIRA",75
"974167","Bondy","0005",1056,709,694,"SAINT-JOSSE",2
"974168","Bondy","0005",1056,709,694,"MAMERE",39
"974169","Bondy","0005",1056,709,694,"JOSPIN",198
"974170","Bondy","0005",1056,709,694,"BOUTIN",6
"974171","Bondy","0005",1056,709,694,"HUE",36
"974172","Bondy","0005",1056,709,694,"CHEVENEMENT",30
"974173","Bondy","0005",1056,709,694,"MADELIN",8
"974174","Bondy","0005",1056,709,694,"LAGUILLER",41
"974175","Bondy","0005",1056,709,694,"BESANCENOT",19
"974176","Bondy","0006",1427,956,933,"MEGRET",16
"974177","Bondy","0006",1427,956,933,"LEPAGE",11
"974178","Bondy","0006",1427,956,933,"GLUCKSTEIN",0
"974179","Bondy","0006",1427,956,933,"BAYROU",23
"974180","Bondy","0006",1427,956,933,"CHIRAC",125
"974181","Bondy","0006",1427,956,933,"LE PEN",132
"974182","Bondy","0006",1427,956,933,"TAUBIRA",127
"974183","Bondy","0006",1427,956,933,"SAINT-JOSSE",5
"974184","Bondy","0006",1427,956,933,"MAMERE",53
"974185","Bondy","0006",1427,956,933,"JOSPIN",205
"974186","Bondy","0006",1427,956,933,"BOUTIN",7
"974187","Bondy","0006",1427,956,933,"HUE",34
"974188","Bondy","0006",1427,956,933,"CHEVENEMENT",47
"974189","Bondy","0006",1427,956,933,"MADELIN",34
"974190","Bondy","0006",1427,956,933,"LAGUILLER",81
"974191","Bondy","0006",1427,956,933,"BESANCENOT",33
"974192","Bondy","0007",1215,786,766,"MEGRET",18
"974193","Bondy","0007",1215,786,766,"LEPAGE",6
"974194","Bondy","0007",1215,786,766,"GLUCKSTEIN",4
"974195","Bondy","0007",1215,786,766,"BAYROU",30
"974196","Bondy","0007",1215,786,766,"CHIRAC",132
"974197","Bondy","0007",1215,786,766,"LE PEN",125
"974198","Bondy","0007",1215,786,766,"TAUBIRA",54
"974199","Bondy","0007",1215,786,766,"SAINT-JOSSE",6
"974200","Bondy","0007",1215,786,766,"MAMERE",59
"974201","Bondy","0007",1215,786,766,"JOSPIN",155
"974202","Bondy","0007",1215,786,766,"BOUTIN",3
"974203","Bondy","0007",1215,786,766,"HUE",37
"974204","Bondy","0007",1215,786,766,"CHEVENEMENT",54
"974205","Bondy","0007",1215,786,766,"MADELIN",17
"974206","Bondy","0007",1215,786,766,"LAGUILLER",40
"974207","Bondy","0007",1215,786,766,"BESANCENOT",26
"974208","Bondy","0008",964,692,680,"MEGRET",14
"974209","Bondy","0008",964,692,680,"LEPAGE",7
"974210","Bondy","0008",964,692,680,"GLUCKSTEIN",3
"974211","Bondy","0008",964,692,680,"BAYROU",23
"974212","Bondy","0008",964,692,680,"CHIRAC",87
"974213","Bondy","0008",964,692,680,"LE PEN",143
"974214","Bondy","0008",964,692,680,"TAUBIRA",40
"974215","Bondy","0008",964,692,680,"SAINT-JOSSE",6
"974216","Bondy","0008",964,692,680,"MAMERE",31
"974217","Bondy","0008",964,692,680,"JOSPIN",154
"974218","Bondy","0008",964,692,680,"BOUTIN",3
"974219","Bondy","0008",964,692,680,"HUE",25
"974220","Bondy","0008",964,692,680,"CHEVENEMENT",46
"974221","Bondy","0008",964,692,680,"MADELIN",19
"974222","Bondy","0008",964,692,680,"LAGUILLER",50
"974223","Bondy","0008",964,692,680,"BESANCENOT",29
"974224","Bondy","0009",1403,940,915,"MEGRET",18
"974225","Bondy","0009",1403,940,915,"LEPAGE",6
"974226","Bondy","0009",1403,940,915,"GLUCKSTEIN",4
"974227","Bondy","0009",1403,940,915,"BAYROU",24
"974228","Bondy","0009",1403,940,915,"CHIRAC",146
"974229","Bondy","0009",1403,940,915,"LE PEN",153
"974230","Bondy","0009",1403,940,915,"TAUBIRA",74
"974231","Bondy","0009",1403,940,915,"SAINT-JOSSE",9
"974232","Bondy","0009",1403,940,915,"MAMERE",63
"974233","Bondy","0009",1403,940,915,"JOSPIN",215
"974234","Bondy","0009",1403,940,915,"BOUTIN",5
"974235","Bondy","0009",1403,940,915,"HUE",28
"974236","Bondy","0009",1403,940,915,"CHEVENEMENT",58
"974237","Bondy","0009",1403,940,915,"MADELIN",29
"974238","Bondy","0009",1403,940,915,"LAGUILLER",62
"974239","Bondy","0009",1403,940,915,"BESANCENOT",21
"974240","Bondy","0010",883,566,544,"MEGRET",20
"974241","Bondy","0010",883,566,544,"LEPAGE",3
"974242","Bondy","0010",883,566,544,"GLUCKSTEIN",0
"974243","Bondy","0010",883,566,544,"BAYROU",14
"974244","Bondy","0010",883,566,544,"CHIRAC",73
"974245","Bondy","0010",883,566,544,"LE PEN",109
"974246","Bondy","0010",883,566,544,"TAUBIRA",28
"974247","Bondy","0010",883,566,544,"SAINT-JOSSE",3
"974248","Bondy","0010",883,566,544,"MAMERE",39
"974249","Bondy","0010",883,566,544,"JOSPIN",121
"974250","Bondy","0010",883,566,544,"BOUTIN",4
"974251","Bondy","0010",883,566,544,"HUE",21
"974252","Bondy","0010",883,566,544,"CHEVENEMENT",33
"974253","Bondy","0010",883,566,544,"MADELIN",3
"974254","Bondy","0010",883,566,544,"LAGUILLER",55
"974255","Bondy","0010",883,566,544,"BESANCENOT",18
"974256","Bondy","0011",1262,885,862,"MEGRET",23
"974257","Bondy","0011",1262,885,862,"LEPAGE",9
"974258","Bondy","0011",1262,885,862,"GLUCKSTEIN",1
"974259","Bondy","0011",1262,885,862,"BAYROU",38
"974260","Bondy","0011",1262,885,862,"CHIRAC",137
"974261","Bondy","0011",1262,885,862,"LE PEN",145
"974262","Bondy","0011",1262,885,862,"TAUBIRA",51
"974263","Bondy","0011",1262,885,862,"SAINT-JOSSE",5
"974264","Bondy","0011",1262,885,862,"MAMERE",70
"974265","Bondy","0011",1262,885,862,"JOSPIN",184
"974266","Bondy","0011",1262,885,862,"BOUTIN",5
"974267","Bondy","0011",1262,885,862,"HUE",26
"974268","Bondy","0011",1262,885,862,"CHEVENEMENT",67
"974269","Bondy","0011",1262,885,862,"MADELIN",32
"974270","Bondy","0011",1262,885,862,"LAGUILLER",50
"974271","Bondy","0011",1262,885,862,"BESANCENOT",19
"974272","Bondy","0012",1218,812,793,"MEGRET",28
"974273","Bondy","0012",1218,812,793,"LEPAGE",17
"974274","Bondy","0012",1218,812,793,"GLUCKSTEIN",4
"974275","Bondy","0012",1218,812,793,"BAYROU",45
"974276","Bondy","0012",1218,812,793,"CHIRAC",134
"974277","Bondy","0012",1218,812,793,"LE PEN",162
"974278","Bondy","0012",1218,812,793,"TAUBIRA",25
"974279","Bondy","0012",1218,812,793,"SAINT-JOSSE",10
"974280","Bondy","0012",1218,812,793,"MAMERE",43
"974281","Bondy","0012",1218,812,793,"JOSPIN",145
"974282","Bondy","0012",1218,812,793,"BOUTIN",10
"974283","Bondy","0012",1218,812,793,"HUE",26
"974284","Bondy","0012",1218,812,793,"CHEVENEMENT",47
"974285","Bondy","0012",1218,812,793,"MADELIN",17
"974286","Bondy","0012",1218,812,793,"LAGUILLER",52
"974287","Bondy","0012",1218,812,793,"BESANCENOT",28
"974288","Bondy","0013",1140,785,769,"MEGRET",11
"974289","Bondy","0013",1140,785,769,"LEPAGE",23
"974290","Bondy","0013",1140,785,769,"GLUCKSTEIN",3
"974291","Bondy","0013",1140,785,769,"BAYROU",37
"974292","Bondy","0013",1140,785,769,"CHIRAC",102
"974293","Bondy","0013",1140,785,769,"LE PEN",159
"974294","Bondy","0013",1140,785,769,"TAUBIRA",42
"974295","Bondy","0013",1140,785,769,"SAINT-JOSSE",9
"974296","Bondy","0013",1140,785,769,"MAMERE",39
"974297","Bondy","0013",1140,785,769,"JOSPIN",146
"974298","Bondy","0013",1140,785,769,"BOUTIN",5
"974299","Bondy","0013",1140,785,769,"HUE",36
"974300","Bondy","0013",1140,785,769,"CHEVENEMENT",62
"974301","Bondy","0013",1140,785,769,"MADELIN",26
"974302","Bondy","0013",1140,785,769,"LAGUILLER",37
"974303","Bondy","0013",1140,785,769,"BESANCENOT",32
"974304","Bondy","0014",1121,744,726,"MEGRET",21
"974305","Bondy","0014",1121,744,726,"LEPAGE",9
"974306","Bondy","0014",1121,744,726,"GLUCKSTEIN",1
"974307","Bondy","0014",1121,744,726,"BAYROU",29
"974308","Bondy","0014",1121,744,726,"CHIRAC",111
"974309","Bondy","0014",1121,744,726,"LE PEN",132
"974310","Bondy","0014",1121,744,726,"TAUBIRA",55
"974311","Bondy","0014",1121,744,726,"SAINT-JOSSE",8
"974312","Bondy","0014",1121,744,726,"MAMERE",37
"974313","Bondy","0014",1121,744,726,"JOSPIN",140
"974314","Bondy","0014",1121,744,726,"BOUTIN",9
"974315","Bondy","0014",1121,744,726,"HUE",37
"974316","Bondy","0014",1121,744,726,"CHEVENEMENT",36
"974317","Bondy","0014",1121,744,726,"MADELIN",21
"974318","Bondy","0014",1121,744,726,"LAGUILLER",63
"974319","Bondy","0014",1121,744,726,"BESANCENOT",17
"974320","Bondy","0015",1412,932,908,"MEGRET",28
"974321","Bondy","0015",1412,932,908,"LEPAGE",14
"974322","Bondy","0015",1412,932,908,"GLUCKSTEIN",7
"974323","Bondy","0015",1412,932,908,"BAYROU",39
"974324","Bondy","0015",1412,932,908,"CHIRAC",156
"974325","Bondy","0015",1412,932,908,"LE PEN",207
"974326","Bondy","0015",1412,932,908,"TAUBIRA",29
"974327","Bondy","0015",1412,932,908,"SAINT-JOSSE",12
"974328","Bondy","0015",1412,932,908,"MAMERE",52
"974329","Bondy","0015",1412,932,908,"JOSPIN",135
"974330","Bondy","0015",1412,932,908,"BOUTIN",5
"974331","Bondy","0015",1412,932,908,"HUE",37
"974332","Bondy","0015",1412,932,908,"CHEVENEMENT",54
"974333","Bondy","0015",1412,932,908,"MADELIN",44
"974334","Bondy","0015",1412,932,908,"LAGUILLER",52
"974335","Bondy","0015",1412,932,908,"BESANCENOT",37
"974336","Bondy","0016",1226,873,848,"MEGRET",23
"974337","Bondy","0016",1226,873,848,"LEPAGE",11
"974338","Bondy","0016",1226,873,848,"GLUCKSTEIN",8
"974339","Bondy","0016",1226,873,848,"BAYROU",52
"974340","Bondy","0016",1226,873,848,"CHIRAC",134
"974341","Bondy","0016",1226,873,848,"LE PEN",149
"974342","Bondy","0016",1226,873,848,"TAUBIRA",22
"974343","Bondy","0016",1226,873,848,"SAINT-JOSSE",15
"974344","Bondy","0016",1226,873,848,"MAMERE",63
"974345","Bondy","0016",1226,873,848,"JOSPIN",171
"974346","Bondy","0016",1226,873,848,"BOUTIN",9
"974347","Bondy","0016",1226,873,848,"HUE",26
"974348","Bondy","0016",1226,873,848,"CHEVENEMENT",61
"974349","Bondy","0016",1226,873,848,"MADELIN",20
"974350","Bondy","0016",1226,873,848,"LAGUILLER",49
"974351","Bondy","0016",1226,873,848,"BESANCENOT",35
"974352","Bondy","0017",810,543,532,"MEGRET",11
"974353","Bondy","0017",810,543,532,"LEPAGE",4
"974354","Bondy","0017",810,543,532,"GLUCKSTEIN",5
"974355","Bondy","0017",810,543,532,"BAYROU",25
"974356","Bondy","0017",810,543,532,"CHIRAC",72
"974357","Bondy","0017",810,543,532,"LE PEN",93
"974358","Bondy","0017",810,543,532,"TAUBIRA",28
"974359","Bondy","0017",810,543,532,"SAINT-JOSSE",5
"974360","Bondy","0017",810,543,532,"MAMERE",36
"974361","Bondy","0017",810,543,532,"JOSPIN",97
"974362","Bondy","0017",810,543,532,"BOUTIN",0
"974363","Bondy","0017",810,543,532,"HUE",27
"974364","Bondy","0017",810,543,532,"CHEVENEMENT",42
"974365","Bondy","0017",810,543,532,"MADELIN",25
"974366","Bondy","0017",810,543,532,"LAGUILLER",40
"974367","Bondy","0017",810,543,532,"BESANCENOT",22
"1148018","Bondy","0001",1300,1017,967,"CHIRAC",800
"1148019","Bondy","0001",1300,1017,967,"LE PEN",167
"1148020","Bondy","0002",1449,1227,1167,"CHIRAC",958
"1148021","Bondy","0002",1449,1227,1167,"LE PEN",209
"1148022","Bondy","0003",1314,1052,1012,"CHIRAC",848
"1148023","Bondy","0003",1314,1052,1012,"LE PEN",164
"1148024","Bondy","0004",1394,1117,1076,"CHIRAC",923
"1148025","Bondy","0004",1394,1117,1076,"LE PEN",153
"1148026","Bondy","0005",1056,823,793,"CHIRAC",652
"1148027","Bondy","0005",1056,823,793,"LE PEN",141
"1148028","Bondy","0006",1427,1123,1076,"CHIRAC",903
"1148029","Bondy","0006",1427,1123,1076,"LE PEN",173
"1148030","Bondy","0007",1215,898,863,"CHIRAC",706
"1148031","Bondy","0007",1215,898,863,"LE PEN",157
"1148032","Bondy","0008",965,766,711,"CHIRAC",552
"1148033","Bondy","0008",965,766,711,"LE PEN",159
"1148034","Bondy","0009",1404,1093,1055,"CHIRAC",866
"1148035","Bondy","0009",1404,1093,1055,"LE PEN",189
"1148036","Bondy","0010",883,668,648,"CHIRAC",532
"1148037","Bondy","0010",883,668,648,"LE PEN",116
"1148038","Bondy","0011",1263,1037,1002,"CHIRAC",857
"1148039","Bondy","0011",1263,1037,1002,"LE PEN",145
"1148040","Bondy","0012",1218,974,922,"CHIRAC",745
"1148041","Bondy","0012",1218,974,922,"LE PEN",177
"1148042","Bondy","0013",1140,943,903,"CHIRAC",726
"1148043","Bondy","0013",1140,943,903,"LE PEN",177
"1148044","Bondy","0014",1121,860,805,"CHIRAC",651
"1148045","Bondy","0014",1121,860,805,"LE PEN",154
"1148046","Bondy","0015",1412,1101,1042,"CHIRAC",822
"1148047","Bondy","0015",1412,1101,1042,"LE PEN",220
"1148048","Bondy","0016",1226,990,941,"CHIRAC",757
"1148049","Bondy","0016",1226,990,941,"LE PEN",184
"1148050","Bondy","0017",810,621,582,"CHIRAC",484
"1148051","Bondy","0017",810,621,582,"LE PEN",98
